ihr360_authorization_center_provider|40520/ac/actuator/health
ihr360_2ndparty_api_provider|40534/actuator/health
ihr360_app_package_config_provider|18100/actuator/health
ihr360_attendance_calculate_provider|41534/actuator/health
ihr360_attendance_company_daemon|41525/actuator/health
ihr360_attendance_consumer|41508/actuator/health
ihr360_attendance_daily_daemon|41513/actuator/health
ihr360_attendance_generic_daemon|41535/actuator/health
ihr360_attendance_lock_provider|41533/actuator/health
ihr360_attendance_message_daemon|41514/actuator/health
ihr360_attendance_middle_api|41511/actuator/health
ihr360_attendance_overtime_daemon|41517/actuator/health
ihr360_attendance_period_daemon|41515/actuator/health
ihr360_attendance_schedule_daemon|41518/actuator/health
ihr360_attendance_sign_daemon|41516/actuator/health
ihr360_attendance_vacation_daemon|41523/actuator/health
ihr360_authority_aggregate_provider|42102/actuator/health
ihr360_authority_provider|42101/actuator/health
ihr360_authorization_center_executor|40522/actuator/health
ihr360_bee_daemon|45301/actuator/health
ihr360_bee_executor|45304/actuator/health
ihr360_bee_provider|45302/actuator/health
ihr360_bi_admin_provider|40541/actuator/health
ihr360_bi_daemon|40542/actuator/health
ihr360_bi_executor|40547/actuator/health
ihr360_bi_provider|40540/actuator/health
ihr360_binlog_eventsource|40506/actuator/health
ihr360_binlog_eventtable|40533/actuator/health
ihr360_cloud_stream_daemon|41519/actuator/health
ihr360_cloud_stream_event_monitor_daemon|41522/actuator/health
ihr360_cloud_stream_manager|40512/actuator/health
ihr360_cnb_aggregate_provider|40504/actuator/health
ihr360_cnb_plugins_container|40525/actuator/health
ihr360_cnb_plugins_daemon_container|40526/actuator/health
ihr360_cnb_plugins_executor_container|40527/actuator/health
ihr360_component_manage_provider|40531/actuator/health
ihr360_crm_daemon|41527/actuator/health
ihr360_crm_executor|41528/actuator/health
ihr360_crm_migrate|41530/actuator/health
ihr360_crm_provider|41526/actuator/health
ihr360_data_sync|40511/actuator/health
ihr360_db_executor|44101/actuator/health
ihr360_dingtalk_adapter|42504/actuator/health
ihr360_dingtalk_cloud_push_executor|42506/actuator/health
ihr360_dingtalk_executor|42509/actuator/health
ihr360_event_creator|40543/actuator/health
ihr360_excel_provider|40505/actuator/health
ihr360_file_preview_provider|41520/actuator/health
