ihr360-authorization-center-provider|192.168.1.179:40520/ac/actuator/health
ihr360-2ndparty-api-provider|192.168.1.179:40534/actuator/health
ihr360-app-package-config-provider|192.168.1.179:18100/actuator/health
ihr360-attendance-calculate-provider|192.168.1.179:41534/actuator/health
ihr360-attendance-company-daemon|192.168.1.179:41525/actuator/health
ihr360-attendance-consumer|192.168.1.179:41508/actuator/health
ihr360-attendance-daily-daemon|192.168.1.179:41513/actuator/health
ihr360-attendance-generic-daemon|192.168.1.179:41535/actuator/health
ihr360-attendance-lock-provider|192.168.1.179:41533/actuator/health
ihr360-attendance-message-daemon|192.168.1.179:41514/actuator/health
ihr360-attendance-middle-api|192.168.1.179:41511/actuator/health
ihr360-attendance-overtime-daemon|192.168.1.179:41517/actuator/health
ihr360-attendance-period-daemon|192.168.1.179:41515/actuator/health
ihr360-attendance-schedule-daemon|192.168.1.179:41518/actuator/health
ihr360-attendance-sign-daemon|192.168.1.179:41516/actuator/health
ihr360-attendance-vacation-daemon|192.168.1.179:41523/actuator/health
ihr360-authority-aggregate-provider|192.168.1.179:42102/actuator/health
ihr360-authority-provider|192.168.1.179:42101/actuator/health
ihr360-authorization-center-executor|192.168.1.179:40522/actuator/health
ihr360-bee-daemon|192.168.1.179:45301/actuator/health
ihr360-bee-executor|192.168.1.179:45304/actuator/health
ihr360-bee-provider|192.168.1.179:45302/actuator/health
ihr360-bi-admin-provider|192.168.1.179:40541/actuator/health
ihr360-bi-daemon|192.168.1.179:40542/actuator/health
ihr360-bi-executor|192.168.1.179:40547/actuator/health
ihr360-bi-provider|192.168.1.179:40540/actuator/health
ihr360-binlog-eventsource|192.168.1.179:40506/actuator/health
ihr360-binlog-eventtable|192.168.1.179:40533/actuator/health
ihr360-cloud-stream-daemon|192.168.1.179:41519/actuator/health
ihr360-cloud-stream-event-monitor|192.168.1.179:daemon41522/actuator/health
ihr360-cloud-stream-manager|192.168.1.179:40512/actuator/health
ihr360-cnb-aggregate-provider|192.168.1.179:40504/actuator/health
ihr360-cnb-plugins-container|192.168.1.179:40525/actuator/health
ihr360-cnb-plugins-daemon-container|192.168.1.179:40526/actuator/health
ihr360-cnb-plugins-executor-container|192.168.1.179:40527/actuator/health
ihr360-component-manage-provider|192.168.1.179:40531/actuator/health
ihr360-crm-daemon|192.168.1.179:41527/actuator/health
ihr360-crm-executor|192.168.1.179:41528/actuator/health
ihr360-crm-migrate|192.168.1.179:41530/actuator/health
ihr360-crm-provider|192.168.1.179:41526/actuator/health
ihr360-data-sync|192.168.1.179:40511/actuator/health
ihr360-db-executor|192.168.1.179:44101/actuator/health
ihr360-dingtalk-adapter|192.168.1.179:42504/actuator/health
ihr360-dingtalk-cloud-push-executor|192.168.1.179:42506/actuator/health
ihr360-dingtalk-executor|192.168.1.179:42509/actuator/health
ihr360-event-creator|192.168.1.179:40543/actuator/health
ihr360-excel-provider|192.168.1.179:40505/actuator/health
ihr360-file-preview-provider|192.168.1.179:41520/actuator/health
ihr360-form-api-provider|192.168.1.179:44601/actuator/health
ihr360-gateway-aggregate-provider|192.168.1.179:40523/actuator/health
